Villages,,,,,,,,,,
Village,District,Taluka,Entity Type,LGD Village Code,Parent Gram Panchayat,Village Type,Status,Verification Status,Last Verified,Source URL
To be populated from LGD,Mumbai City,Mumbai City,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Mumbai Suburban,Andheri,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Mumbai Suburban,Borivali,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Thane,Thane,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Thane,Kalyan,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Palghar,Palghar,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Palghar,Vasai,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Raigad,Alibag,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Raigad,Panvel,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Ratnagiri,Ratnagiri,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Ratnagiri,Chiplun,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Sindhudurg,Kudal,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Sindhudurg,Kankavli,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Pune,Haveli,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Pune,Pune City,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Satara,Satara,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Satara,Karad,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Sangli,Miraj,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Sangli,Tasgaon,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Solapur,North Solapur,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Solapur,South Solapur,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Kolhapur,Karvir,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
To be populated from LGD,Kolhapur,Panhala,Village,Village LGD code pending,Parent GP pending,Revenue village / habitation,Active,Template seed,2026-07-13,https://lgdirectory.gov.in/
